other_safegraph_place_id,other_location_name,other_city,other_state,other_top_category,other_sub_category
1bdcb35683be3486b7b1cefa7fa66e8f,,bridgeport,CT,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores
29bce72f6f144268a3d9b9c00c8b5bba,,westport,CT,Restaurants and Other Eating Places,Full-Service Restaurants
474ee86dbb544bd7bbc6a656d6a1e8d2,,wilton,CT,Restaurants and Other Eating Places,Limited-Service Restaurants
905f6c403fc630a0bcacbbf9fbcbfa54,,milford,CT,Electronics and Appliance Stores,Electronics Stores
b0727bd124a04c68b74fc357cca8ab03,,fairfield,CT,Restaurants and Other Eating Places,Full-Service Restaurants
ddb4719c61bf44c087af5c1eb6b0774b,,westport,CT,Gasoline Stations,Gasoline Stations with Convenience Stores
e451a20bfc964053b3ecfea83046b48a,,ridgefield,CT,Restaurants and Other Eating Places,Full-Service Restaurants
f1b074fbce224b1eb8ed19a57f67c7d2,,norwalk,CT,Restaurants and Other Eating Places,Full-Service Restaurants
8c52e38c555f366ab837e46963149259,,hamden,CT,Building Finishing Contractors,Roofing Contractors
a088e97e73bf32e49a93b5cf153c5a20,,branford,CT,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores"
964fc94833b639079dab3b40dc1f0bc5,,Shelton,ct,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages
cff0e9ef999a4d61b0a39283ff5c74ac,,wallingford,CT,Gasoline Stations,Gasoline Stations with Convenience Stores
ceb528bca14646ea88fbaa91efd559b0,,wilton,CT,Other Miscellaneous Store Retailers,Pet and Pet Supplies Stores
83368eb49ade40788516fbb02d06980f,,stamford,CT,Religious Organizations,Religious Organizations
74db109ffdb5420589c43698e615159c,,windsor locks,CT,Grocery Stores,Convenience Stores
20238ca32ba344c2923400e8722d996e,,wethersfield,CT,Home Furnishings Stores,All Other Home Furnishings Stores
7d01fa283509472390a9f7c5875d61b0,,norwich,CT,Administration of Human Resource Programs,Other General Government Support
72508b4f585e4b23b0d46aa26773e3f5,,Enfield,ct,Department Stores,Department Stores
57065c30795e3e70b325551e23f3f628,,bridgeport,CT,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars
